"loc","pop","locs_per_indiv","age","age_1st_inj","HIV_active","HIV_aware","HIV_suppressed","inj_freq","shared_inj","syringe_share","MOUD","SSP","test_ever","test_1m","ART","ART_adhere"
"spat_jb1___40",1241,4.69379532634972,30.1998388396454,22.0386784850927,0.329572925060435,0.290953545232274,0.184873949579832,46.317485898469,0.558397699029175,0.903515612048921,0.181045751633987,0.0593741606231534,0.470588235294118,0.0753424657534247,0.302521008403361,0.666666666666667
"spat_jb1___39",987,4.74974670719352,30.629179331307,22.2046605876393,0.346504559270517,0.289473684210526,0.161616161616162,47.2928064842958,0.548527257974943,0.890967213939092,0.183766745468873,0.0616627265563436,0.490374873353597,0.0619834710743802,0.333333333333333,0.696969696969697
"spat_jb1___38",540,4.93333333333333,30.4277777777778,22.2481481481481,0.348148148148148,0.292553191489362,0.163636363636364,46.0851851851852,0.562982912067818,0.901696758803943,0.189495884773663,0.0685082304526749,0.464814814814815,0.0677290836653386,0.454545454545455,0.64
"spat_jb1___37",415,5.06506024096385,30.8265060240964,22.5325301204819,0.359036144578313,0.308724832214765,0.152173913043478,46.1759036144578,0.5599349182945,0.898796692097416,0.188621151271754,0.0599732262382865,0.474698795180723,0.065989847715736,0.282608695652174,0.615384615384615
"spat_jp5___105",379,5.2401055408971,31.0343007915567,22.8126649076517,0.340369393139842,0.325581395348837,0.119047619047619,47.9419525065963,0.534945552556641,0.894614483368667,0.185238932864263,0.054089709762533,0.453825857519789,0.063953488372093,0.261904761904762,0.818181818181818
"spat_jb1___41",338,5.05029585798817,30.0739644970414,22.2514792899408,0.346153846153846,0.282051282051282,0.303030303030303,44.0266272189349,0.576125008918357,0.890442111574941,0.160486522024984,0.0651545036160421,0.479289940828402,0.0617283950617284,0.393939393939394,0.692307692307692
"spat_jb2___44",292,4.92808219178082,30.1780821917808,22.6780821917808,0.393835616438356,0.304347826086957,0.2,46.0890410958904,0.546028790403727,0.88809098650709,0.188280060882801,0.0625,0.458904109589041,0.0447761194029851,0.257142857142857,0.777777777777778
"spat_jb2___48",279,5.12544802867384,30.2974910394265,22.5698924731183,0.354838709677419,0.292929292929293,0.241379310344828,45.9605734767025,0.5402201335399,0.903172145910621,0.166806053365193,0.0604141776184787,0.49820788530466,0.0575539568345324,0.344827586206897,0.7
"spat_jp3___165",213,4.82629107981221,29.6431924882629,22.8075117370892,0.342723004694836,0.287671232876712,0.142857142857143,45.0422535211268,0.58274808430404,0.903482039481019,0.178142931664058,0.0743088158581116,0.55868544600939,0.0756302521008403,0.285714285714286,0.833333333333333
"spat_nkp___52",187,5.16577540106952,29.8021390374332,22.3475935828877,0.336898395721925,0.285714285714286,0.333333333333333,48.3636363636364,0.553852930604653,0.885587773462982,0.195246583481878,0.0448306595365419,0.454545454545455,0.0352941176470588,0.611111111111111,0.545454545454545
"spat_jp5___104",205,5.21951219512195,30.380487804878,22.4682926829268,0.346341463414634,0.309859154929577,0.227272727272727,50.3560975609756,0.556520801130178,0.878014619188911,0.174227642276423,0.0824932249322493,0.458536585365854,0.0425531914893617,0.409090909090909,0.888888888888889
"spat_jb2___47",196,5.13265306122449,29.9387755102041,22.1938775510204,0.357142857142857,0.314285714285714,0.136363636363636,45.765306122449,0.570605293270314,0.901647643359858,0.150992063492063,0.0751133786848073,0.464285714285714,0.010989010989011,0.454545454545455,0.7
"spat_jp5___76",194,5.3659793814433,31.4690721649485,23.0927835051546,0.365979381443299,0.323943661971831,0.173913043478261,47.8762886597938,0.508393634483763,0.918044409086224,0.182932416953036,0.0579037800687285,0.479381443298969,0.0752688172043011,0.260869565217391,0.833333333333333
"spat_nkp___53",147,5.10204081632653,29.578231292517,22.312925170068,0.285714285714286,0.380952380952381,0.1875,41.530612244898,0.613169809253873,0.919713618472432,0.166402116402116,0.0456916099773243,0.523809523809524,0.0649350649350649,0.625,0.6
"spat_jp5___75",175,5.27428571428571,30.7428571428571,21.9771428571429,0.371428571428571,0.276923076923077,0.0555555555555556,49.8,0.560805880774989,0.915600993294733,0.208761904761905,0.054952380952381,0.451428571428571,0.0632911392405063,0.444444444444444,0.875
"spat_nkp___111",171,5.38011695906433,30.6608187134503,22.3157894736842,0.280701754385965,0.3125,0.133333333333333,45.4795321637427,0.542954026177488,0.886891590610382,0.209876543209877,0.0596491228070176,0.432748538011696,0.121621621621622,0.466666666666667,0.714285714285714
"spat_jp5___77",154,5.32467532467532,29.4025974025974,21.7987012987013,0.383116883116883,0.254237288135593,0.266666666666667,46.1558441558442,0.555833565352756,0.899222229263218,0.138095238095238,0.0896464646464647,0.512987012987013,0.0506329113924051,0.266666666666667,1
"spat_jb2___45",144,5.22916666666667,29.5138888888889,21.7291666666667,0.326388888888889,0.361702127659574,0.0588235294117647,48.4097222222222,0.531993237887925,0.920157903041103,0.203433641975309,0.0869598765432099,0.465277777777778,0.0447761194029851,0.294117647058824,0.8
"spat_jp9___83",137,5.27737226277372,30.5255474452555,23.4379562043796,0.335766423357664,0.41304347826087,0.210526315789474,48.1970802919708,0.529572504606398,0.919273346331947,0.194809407948094,0.0523114355231144,0.394160583941606,0.0185185185185185,0.210526315789474,0.25
"spat_jb1___36",147,5.17687074829932,30.6122448979592,21.8299319727891,0.340136054421769,0.2,0.1,44.7006802721088,0.61219471477437,0.956423214933429,0.144520030234316,0.0803476946334089,0.428571428571429,0.0317460317460317,0.4,0.5
"spat_jb1___35",112,5.13392857142857,30.8303571428571,22.2410714285714,0.3125,0.371428571428571,0.153846153846154,53.75,0.51152259318346,0.874395583877645,0.182390873015873,0.0870039682539683,0.473214285714286,0.0943396226415094,0.307692307692308,0.5
"spat_nkp___110",135,5.02222222222222,31.4296296296296,22.0592592592593,0.414814814814815,0.267857142857143,0.2,44.3333333333333,0.596038629421537,0.895692260187109,0.165925925925926,0.0400411522633745,0.444444444444444,0.0833333333333333,0.466666666666667,0.571428571428571
"spat_jb2___42",97,4.77319587628866,30.4432989690722,22.0515463917526,0.391752577319588,0.210526315789474,0.25,44.8762886597938,0.600430597388074,0.889586880604935,0.195418098510882,0.0646620847651775,0.505154639175258,0.142857142857143,0.375,0.666666666666667
"spat_nkp___132",130,4.75384615384615,29.4923076923077,22.1,0.4,0.269230769230769,0.142857142857143,49.4307692307692,0.595994176951328,0.905163699171576,0.198803418803419,0.0746581196581197,0.5,0.0769230769230769,0.357142857142857,0.4
"spat_jp6___80",98,5.19387755102041,31.3469387755102,21.9081632653061,0.346938775510204,0.294117647058824,0.1,45.9183673469388,0.592520726083787,0.905350331940968,0.161848072562358,0.0419501133786848,0.5,0.0612244897959184,0.3,0.666666666666667
"spat_jp3___136",105,5,30.3809523809524,23.1333333333333,0.371428571428571,0.282051282051282,0,43.2285714285714,0.597444483655406,0.925748160782821,0.166402116402116,0.0656084656084656,0.533333333333333,0.0357142857142857,0.363636363636364,1
"spat_jb2___46",107,5.14018691588785,30.7196261682243,22.3084112149533,0.317757009345794,0.264705882352941,0.222222222222222,46.1121495327103,0.576736603568445,0.914668421135853,0.166718587746625,0.0413811007268951,0.467289719626168,0.1,0.333333333333333,0.333333333333333
"spat_jp5___159",102,5.07843137254902,29.9117647058824,22.0588235294118,0.382352941176471,0.333333333333333,0.153846153846154,43.8529411764706,0.577711900644825,0.909752474145148,0.196296296296296,0.0548474945533769,0.53921568627451,0.0727272727272727,0.384615384615385,0.8
"spat_jp9___82",112,5.08928571428571,31.4642857142857,22.2857142857143,0.276785714285714,0.354838709677419,0.272727272727273,44.4732142857143,0.553786297219507,0.829919040647448,0.144890873015873,0.0456845238095238,0.473214285714286,0.0188679245283019,0.0909090909090909,0
"spat_nkp___51",110,5.12727272727273,30.4545454545455,22.3454545454545,0.336363636363636,0.324324324324324,0.0833333333333333,45.3090909090909,0.582065976643191,0.9086311270266,0.192474747474747,0.076010101010101,0.427272727272727,0.0851063829787234,0.25,0.666666666666667
"spat_jp10___85",114,5.09649122807018,30.1666666666667,21.9122807017544,0.368421052631579,0.380952380952381,0.25,46.4298245614035,0.557671388879213,0.896990530256134,0.162378167641326,0.0889376218323586,0.473684210526316,0.0740740740740741,0.375,0.666666666666667
"spat_nkp___50",77,4.8961038961039,30.2207792207792,21.5194805194805,0.272727272727273,0.523809523809524,0.0909090909090909,54.0649350649351,0.503591080519643,0.898359974822837,0.173160173160173,0.0772005772005772,0.402597402597403,0.032258064516129,0.545454545454545,1
"spat_nkp___134",92,5.43478260869565,30.4347826086957,22.8369565217391,0.402173913043478,0.189189189189189,0.285714285714286,48.7282608695652,0.492611926403942,0.867708574647002,0.183393719806763,0.0443840579710145,0.456521739130435,0.0714285714285714,0,0
"spat_nkp___49",101,5.5049504950495,30.7029702970297,23.039603960396,0.415841584158416,0.285714285714286,0.25,49.1089108910891,0.577398968028857,0.928042271115516,0.154455445544554,0.0555005500550055,0.405940594059406,0.0975609756097561,0.666666666666667,0.75
"spat_slm2___33",92,5.16304347826087,29.6304347826087,23.2391304347826,0.369565217391304,0.352941176470588,0.166666666666667,44.1847826086956,0.544917086856687,0.88525717916086,0.163707729468599,0.0540458937198068,0.402173913043478,0.027027027027027,0.166666666666667,0.5
"spat_slm3___107",90,5.25555555555556,30.0222222222222,22.3111111111111,0.288888888888889,0.423076923076923,0.181818181818182,43.8666666666667,0.582043091644106,0.935162511475148,0.154074074074074,0.0446296296296296,0.444444444444444,0,0.363636363636364,0.75
"spat_jp5___74",76,5.42105263157895,29.6184210526316,22.3026315789474,0.381578947368421,0.275862068965517,0.25,47.5657894736842,0.581771756139568,0.88119480361472,0.165350877192982,0.0739766081871345,0.421052631578947,0,0.5,0.5
"spat_ksn2___62",70,4.98571428571429,30.3,23.1428571428571,0.4,0.392857142857143,0.272727272727273,43.9571428571429,0.580980956317222,0.906486063356869,0.195793650793651,0.0324603174603175,0.542857142857143,0.0526315789473684,0.181818181818182,1
"spat_jp6___143",84,5.22619047619048,30.4285714285714,22.0952380952381,0.297619047619048,0.28,0,50.5476190476191,0.580927426073595,0.867834581666266,0.193981481481481,0.0332010582010582,0.44047619047619,0.0540540540540541,0.285714285714286,1
"spat_jb2___43",66,4.96969696969697,28.969696969697,21.6060606060606,0.378787878787879,0.4,0.1,43.8181818181818,0.587933031312131,0.918358528917843,0.200505050505051,0.0696969696969697,0.5,0.121212121212121,0.3,0.333333333333333
"spat_ksn2___61",75,5.09333333333333,30.64,23.8666666666667,0.346666666666667,0.153846153846154,0.25,49.44,0.499706059022476,0.889585387979911,0.165703703703704,0.0492592592592593,0.466666666666667,0,0.25,0
"spat_jp1___164",69,5.20289855072464,30.7536231884058,23.3623188405797,0.347826086956522,0.333333333333333,0.375,47.0144927536232,0.557509509882465,0.89459502559537,0.246054750402576,0.0615942028985507,0.550724637681159,0.0526315789473684,0.25,0.5
"spat_jp4___166",73,5.05479452054795,28.8767123287671,21.8904109589041,0.424657534246575,0.258064516129032,0.5,43.1232876712329,0.593021979942806,0.888545209324292,0.243302891933029,0.0589802130898021,0.383561643835616,0.0714285714285714,0.375,0.333333333333333
